Weather Central 001d0300 Surface Data TimeStamp=2015.06.19.0800
areid,cityname,lat,lon,rh20cm
101110608,shanyang,33.55,109.87,60
101180506,wugang,33.34,113.54,60
101180502,jiaxian,33.98,113.20,60
101180503,baofeng,33.87,113.05,70
101180503,shilong,33.87,113.05,70
101181605,runan,33.08,114.39,90
101272102,wangcang,32.23,106.28,100
101201106,fangxian,32.03,110.77,100
101181608,xincai,32.74,114.97,80
101180604,guangshan,31.97,114.92,100
101041500,kaixian,31.10,108.25,100
101310207,baisha,19.23,109.44,90
101140508,basu,29.87,95.77,200
101140508,bianba,29.87,95.77,200
101140508,bomi,29.87,95.77,200
101270110,xinjin,30.45,103.82,60
101271501,meishan,30.10,103.82,30
101271407,mabian,28.82,103.53,70
101271605,dechang,27.42,102.18,20
101290409,xuanwei,26.22,104.08,80
101290803,yuanmou,25.73,101.87,90
101260909,puan,25.52,105.98,100
101291503,longchuan,24.07,97.82,100
101290505,changning,24.83,99.62,100
101291508,luxi,24.43,98.58,90
101291508,dehong,24.43,98.58,90
101290106,yiliang,24.92,103.17,100
101161007,lixian,34.17,105.18,70
101180905,luoning,34.40,111.63,60
101180504,ruzhou,34.20,112.79,90
101180105,xinmi,34.53,113.33,50
101180405,yuzhou,34.17,113.49,80
101110803,mianxian,33.17,106.70,50
101110106,huxian,34.13,108.58,50
101180705,xixia,33.34,111.42,80
101180907,songxian,34.14,112.07,90
101180501,pingdingshan,33.78,113.14,50
101180507,lushan,33.76,112.89,70
101180702,nanzhao,33.48,112.45,50
101180704,sheqi,33.09,112.90,90
101181602,xiping,33.33,113.98,100
101181609,queshan,32.84,114.02,70
101180602,xixian,32.35,114.73,80
101042400,zhongxian,29.99,108.13,60
101040200,yongchuan,31.18,110.04,100
101040700,yubei,29.36,105.90,80
101040900,banan,29.49,106.93,100
101260210,daozhen,28.89,107.60,100
101260701,bijie,27.17,105.17,70
101250904,xinshao,27.32,111.45,100
101260304,pingba,26.37,106.45,100
101260505,huangping,26.85,107.90,100
101260501,kaili,26.60,107.98,70
101260514,tianzhu,27.02,109.07,90
101251403,dongan,26.37,111.27,100
101250401,hengyang,26.78,112.33,100
101250509,anren,26.73,113.25,100
101250305,chaling,27.07,113.75,100
101260903,xingren,25.43,105.18,100
101300504,yongfu,24.99,109.99,100
101181004,minquan,34.61,115.07,60
101181005,yucheng,34.39,115.88,90
101190803,fengxian,34.68,116.58,70
101220901,bozhou,33.87,115.76,70
101220805,jieshou,33.27,115.35,100
101190903,xuyi,32.98,118.52,80
101190906,huaiyinqu,33.65,119.03,100
101190906,huaian,33.65,119.03,100
101221105,quanjiao,32.13,118.29,100
101221505,jinzhai,31.68,115.88,100
101220103,feidong,31.78,117.30,100
101220305,wuwei,31.33,117.87,100
101220302,fanyang,31.08,118.18,100
101190103,gaochun,31.20,118.53,90
101220304,nanling,30.88,118.32,100
101210107,linan,30.22,119.70,60
101210501,shaoxing,30.07,120.50,100
101210504,xinchang,29.52,120.88,70
101230906,pucheng,27.92,118.53,100
101230808,shaxian,26.38,117.80,80
101230704,wuping,25.08,116.10,90
101301207,yizhou,24.49,108.66,90
101251410,jianghua,25.17,111.45,100
101300105,longan,23.17,107.71,100
101300405,wuxuan,23.59,109.66,100
101281502,raoping,20.42,116.58,90
101300206,fusui,22.63,107.90,90
101282103,lufeng,22.97,115.63,70
101301101,qinzhou,21.95,108.55,100
101310209,dingan,19.70,110.33,80
101310221,ledong,18.75,109.16,70
101310214,baoting,18.64,109.70,100
101310215,wanning,18.80,110.33,80
101260510,taijiang,26.68,108.31,100
101260901,xingyi,25.09,104.90,100
101260907,anlong,25.11,105.48,90
101260406,huishui,26.10,106.64,100
101260408,luodian,25.43,106.76,100
101260411,sandu,25.98,107.83,40
101300507,lingchuan,25.41,110.32,100
101181003,suixian,34.44,115.10,100
101190703,binhai,34.02,119.48,60
101181408,dancheng,33.67,115.21,90
101220904,mengcheng,33.28,116.54,70
101180607,huangchuan,32.15,115.05,100
101190303,yangzhong,32.28,119.80,100
101190707,dongtai,32.85,120.28,90
101191205,jingjiang,32.05,120.22,100
101190504,rudong,32.23,121.15,100
101190509,tongzhou,32.10,121.08,100
101220106,lujiang,31.24,117.28,90
101220303,wuhuxian,31.15,118.58,100
101191102,liyang,31.43,119.48,90
101190202,jiangyin,31.80,120.28,100
101190402,changshu,31.65,120.77,90
101190407,wujiang,31.03,120.52,100
101200505,yingshan,30.73,115.67,100
101210301,jiaxing,30.73,120.77,90
101020900,songjiang,30.94,121.18,90
101210503,shangyu,30.05,120.82,200
101240313,guangfeng,28.43,118.20,80
101230702,changting,25.85,116.37,100
101230703,liancheng,25.72,116.75,100
101300404,xiangzhou,23.96,109.68,100
101280907,fengkai,23.23,111.30,100
101280408,wuhua,23.55,115.47,100
101300207,ningming,22.12,107.06,80
101281106,taishan,22.15,112.47,90
101310211,qionghai,19.23,110.46,30
101310222,wuzhishan,18.77,109.52,70
101140605,anduo,32.27,91.68,200
101140103,nimu,29.44,90.17,200
101140306,cuona,28.00,91.96,100
101150501,maqin,34.47,100.24,100
101150501,guoluo,34.47,100.24,100
101161204,zhouqu,33.78,104.37,70
101161004,dangchang,34.04,104.38,80
101271904,maoxian,31.68,103.85,100
101161003,wenxian,32.95,104.67,50
101270408,jiangyou,31.78,104.73,90
101270401,mianyang,31.45,104.73,70
101271706,tianquan,30.07,102.77,100
101271702,mingshan,30.08,103.12,40
101270106,shuangliu,30.58,103.92,90
101271705,shimian,29.23,102.35,50
101271506,qingshen,29.83,103.83,70
101271616,ganluo,28.95,102.77,100
101271108,gongxian,28.38,104.78,100
101271619,butuo,27.72,102.80,90
101290211,heqing,26.59,100.20,70
101260801,shuicheng,26.58,104.86,50
101290111,luquan,25.55,102.45,100
101290101,kunming,24.93,102.45,90
101260804,panxian,25.71,104.47,100
101290503,longling,24.60,98.68,100
101290701,yuxi,24.31,102.50,90
101290907,jiangcheng,22.57,101.85,100
101160905,gangu,34.75,105.33,70
101181704,lushi,34.05,111.03,30
101180910,ruyang,34.11,112.49,70
101181107,wenxian,34.95,113.04,100
101181403,taikang,34.07,114.85,100
101180703,fangcheng,33.26,112.97,70
101180403,xiangcheng,33.96,113.55,70
101181503,wuyang,33.46,113.59,70
101181603,suiping,33.15,113.96,90
101270606,wanyuan,32.07,108.03,100
101270507,langzhong,31.58,105.96,100
101270402,santai,31.10,105.08,80
101270901,bazhong,31.86,106.76,90
101130809,awati,40.63,80.40,80
101130604,ruoqiang,39.03,88.19,80
101131304,moyu,37.26,79.66,50
101270112,pengzhou,30.98,103.93,70
101150605,nangqian,32.20,96.47,60
101130804,baicheng,41.79,81.90,100
101130910,jiashi,39.46,76.71,90
101160808,dunhuang,40.14,94.68,100
101160808,akesai,40.14,94.68,100
101160701,zhangye,38.85,100.48,70
101150716,delingha,37.37,97.38,40
101150716,haixi,37.37,97.38,40
101271909,heishui,32.13,102.97,100
101272004,shifang,31.13,104.18,40
101271502,renshou,30.05,104.27,40
101271505,danleng,30.02,103.52,60
101271401,leshan,29.57,103.75,80
101271402,qianwei,29.20,103.95,100
101271204,zizhong,29.77,104.85,50
101140404,chayu,28.66,97.47,200
101271604,yanyuan,27.43,101.52,50
101271610,xichang,27.90,102.27,70
101271610,liangshan,27.90,102.27,70
101271106,changning,28.58,104.92,60
101270201,panzhihua,26.58,101.72,100
101290205,binchuan,25.83,100.57,60
101290903,jingdong,24.47,100.87,100
101290309,mengzi,23.38,103.38,70
101290601,wenshan,23.33,104.28,100
101160906,wushan,34.73,104.88,50
101160908,maiji,34.57,105.87,20
101110905,qishan,34.45,107.65,60
101181108,mengzhou,34.92,112.76,40
101180906,yichuan,34.42,112.40,60
101180909,luanchuan,33.78,111.65,50
101180401,xuchang,34.07,113.93,60
101180803,weishi,34.37,114.06,70
101180701,nanyang,33.10,112.49,70
101180709,xinye,32.52,112.38,100
101180603,luoshan,32.22,114.57,100
101270503,yingshan,31.07,106.55,90
101270902,tongjiang,31.93,107.23,80
101200205,yicheng,31.72,112.22,100
101200912,yiling,30.77,111.32,100
101200803,gongan,30.07,112.22,80
101201601,xiantao,30.37,113.43,200
101271105,jiangan,28.71,105.06,100
101043300,qijiang,30.76,108.39,90
